id,word
1038,밥그릇
1039,밥맛
1040,밥상
1041,밥솥
1042,방
1043,방면
1044,방문
1045,방바닥
1046,방법
1047,방송
1048,방송국
1049,방송사
1050,방식
1051,방안
1052,방울
1053,방지
1054,방학
1055,방해
1056,방향
1057,밭
1058,배
1059,배경
1060,배구
1061,배꼽
1062,배달
1063,배드민턴
1064,배우
1065,배우자
1066,배추
1067,배추김치
1068,배치
1069,백색
1070,백성
1071,백인
1072,백화점
1073,뱀
1074,뱃사람
1075,버릇
1076,버섯
1077,버스
1078,버터
1079,버튼
1080,번개
1081,번역
1082,번지
1083,번호
1084,벌
1085,벌금
1086,벌레
1087,범위
1088,범인
1089,범죄
1090,법
1091,법률
1092,법원
1093,법적
1094,법칙
1095,베개
1096,벤치
1097,벨트
1098,벼
1099,벽
1100,변경
1101,변동
1102,변명
1103,변신
1104,변호사
1105,변화
1106,별
1107,별도
1108,별명
1109,별일
1110,병
1111,병실
1112,병아리
1113,병원
1114,보고
1115,보고서
1116,보관
1117,보너스
1118,보도
1119,보라색
1120,보람
1121,보름
1122,보리
1123,보상
1124,보수
1125,보수적
1126,보안
1127,보자기
1128,보장
1129,보전
1130,보조
1131,보존
1132,보통
1133,보편적
1134,보험
1135,보호
1136,복
1137,복도
1138,복사
1139,복사기
1140,복숭아
1141,복습
1142,볶음
1143,볶음밥
1144,본격적
1145,본래
1146,본부
1147,본사
1148,본성
1149,본인
1150,본질
1151,볼
1152,볼링
1153,볼일
1154,볼펜
1155,봄
1156,봉사
1157,봉지
1158,봉투
1159,부
1160,부근
1161,부끄러움
1162,부담
1163,부대
1164,부동산
1165,부모
1166,부모님
1167,부문
1168,부부
1169,부분
1170,부분적
1171,부상
1172,부서
1173,부엌
1174,부위
1175,부인
1176,부자
1177,부작용
1178,부잣집
1179,부장
1180,부재
1181,부정
1182,부정적
1183,부족
1184,부채
1185,부처
1186,부친
1187,부탁
1188,부품
1189,부피
1190,부회장
1191,북
1192,북부
1193,북쪽
1194,분노
1195,분량
1196,분리
1197,분석
1198,분야
1199,분위기
1200,분필
1201,분홍색
1202,불
1203,불고기
1204,불교
1205,불꽃
